Name,Field,Email Status,X / Twitter,LinkedIn,Instagram,Notes
Jim Killock,Digital Rights UK,Sent — uncertain,@jimkillock,linkedin.com/in/jimkillock,,ORG Director — X active
Silkie Carlo,UK Surveillance,Sent — likely delivered,@silkiecarlo,linkedin.com/in/silkiecarlo,,Big Brother Watch — X very active
Tony Bunyan,EU Surveillance,Sent — general inbox,,,, Statewatch general inbox — older contact
Ron Deibert,Spyware Research,Sent — likely delivered,@RonDeibert,linkedin.com/in/ron-deibert,,Citizen Lab Director — X active
Stephanie Hankey,Digital Security,Sent — general inbox (info@),,linkedin.com/in/stephaniehankey,,Tactical Tech — LinkedIn better than info@ inbox
Marwa Fatafta,MENA Rights,Sent — uncertain,@marwafatafta,linkedin.com/in/marwafatafta,,Access Now MENA — X very active
Sam Gregory,Human Rights Video,Sent — uncertain,@samgregory314,linkedin.com/in/samgregory,,WITNESS — X active
Renata Avila,Digital Freedom,Sent — uncertain,@avilarenata,linkedin.com/in/renataavila,,Very active on X
Mary Lawlor,Human Rights,Sent — general inbox,@MaryLawlor6,linkedin.com/in/mary-lawlor-frontline,,UN Special Rapporteur — X active
Agnes Callamard,Freedom of Expression,Sent — general inbox,@AgnesCallamard,linkedin.com/in/agnescallamard,,Secretary General Amnesty — X very active
Joseph Cox,Surveillance Journalism,Sent — uncertain,@josephfcox,linkedin.com/in/josephcox,,404 Media — X very active; likely best route
Patrick Howell O'Neill,Technology Journalism,Corrected → @mit.edu,@pathbywire,linkedin.com/in/patrickhowell,,MIT Tech Review — X active
Julia Angwin,Investigative Journalism,Sent — likely delivered,@JuliaAngwin,linkedin.com/in/juliaangwin,,The Markup — X very active
Alfred Ng,Privacy Journalism,Sent — uncertain,@alfredwng,linkedin.com/in/alfredng,,The Markup — X active
Kim Zetter,Security Journalism,Sent — likely delivered (personal domain),@KimZetter,linkedin.com/in/kimzetter,,Personal domain — very reliable; X active
Andy Greenberg,Technology Journalism,Corrected → andy.greenberg@wired.com,@a_greenberg,linkedin.com/in/andygreenberg,,Wired — X very active
Ryan Gallagher,Investigative Journalism,Corrected → @theintercept.com,@rj_gallagher,linkedin.com/in/ryangallagheruk,,X active — DM an option
Carole Cadwalladr,Investigative Journalism,Corrected → @theguardian.com,@carolecadwalla,linkedin.com/in/carolecadwalladr,,The Guardian — X extremely active; Cambridge Analytica reporter
Etienne Maynier,Surveillance Research,Sent — uncertain,@_taziden,,,Amnesty Tech — X active (handle: _taziden)
Donncha Ó Cearbhaill,Surveillance Research,Sent — uncertain,@dochac,,,Amnesty Tech — X active; special char in email may have caused bounce
Holly Herndon,Sound Art,Sent — likely delivered (personal domain),@hollyherndon,linkedin.com/in/hollyherndon,@hollyherndon,Instagram active; personal domain reliable
Jana Winderen,Acoustic Art,Sent — likely delivered (personal domain),,,,Personal domain reliable; no major social presence
Christina Kubisch,Electromagnetic Art,Sent — likely delivered (personal domain),,,,Artist website contact; older artist — email most reliable
Dr. Ichiro Fujinaga,Music Technology,Corrected → ichiro.fujinaga@mcgill.ca,,linkedin.com/in/ichiro-fujinaga,,Academic — institutional email now correct
Dr. Mark Plumbley,Machine Audition,Sent — likely delivered (institutional),,linkedin.com/in/mark-plumbley,,University of Surrey — academic email reliable
Prof. Jana Dittmann,Multimedia Security,Sent — likely delivered (institutional),,linkedin.com/in/jana-dittmann,,Magdeburg — academic email reliable
Dr. Nedeljko Cvejic,Audio Watermarking,Sent — likely delivered (institutional),,linkedin.com/in/nedeljko-cvejic,,Oulu — academic email reliable
Prof. Andrew Adamatzky,Unconventional Computing,Sent — likely delivered (institutional),,linkedin.com/in/andrew-adamatzky,,UWE Bristol — academic email reliable
Christopher Allen,Decentralized Identity,Sent — both addresses sent,@ChristopherA,linkedin.com/in/christophera,,lifewithalacrity.com and blockchaincommons.com both tried
Drummond Reed,Self-Sovereign Identity,Corrected → drummond@blockchaincommons.com,@drummondreed,linkedin.com/in/drummondreed,,X active — Blockchain Commons now his base
Kaliya Young,Decentralized Identity,Sent — likely delivered,@IdentityWoman,linkedin.com/in/kaliyahamilton,,X very active — DM will land
Kim Hamilton Duffy,Verifiable Credentials,Corrected → kim@kimh.am,@kimdhamilton,linkedin.com/in/kimhamiltonduffy,,X active
Jesselyn Radack,Whistleblower Law,Sent — uncertain,@JesselynRadack,linkedin.com/in/jesselynradack,,X very active — Snowden's lawyer
Tom Devine,Whistleblower Protection,Sent — uncertain,,linkedin.com/in/tom-devine-gap,,GAP — LinkedIn best route; older org
Ellsberg Institute,Whistleblower Advocacy,Sent — general inbox (info@),@ellsberg_inst,,,X active; general inbox likely received
Stephen Kohn,Whistleblower Law,Sent — uncertain,,linkedin.com/in/stephen-kohn-4a2b2,,LinkedIn best route for legal contact
Alex McLean,Live Coding / Sound,Sent — likely delivered,@yaxu,linkedin.com/in/alexmclean,,TidalCycles creator — X very active
Thor Magnusson,Algorithmic Music,Sent — likely delivered (institutional),@thormagnusson,linkedin.com/in/thormagnusson,,Sussex — X active
Stefano Maffulli,Open Source,Sent — uncertain,@smaffulli,linkedin.com/in/smaffulli,,OSI Director — X active
Karen Sandler,Software Freedom,Sent — likely delivered,@_karen0,linkedin.com/in/karensandler,,SFC — X active
Meredith Whittaker,Signal Foundation,Sent — likely delivered,@mer__edith,linkedin.com/in/meredithwhittaker,,Signal President — X very active; one of the most visible voices in tech privacy
Matthew Green,Cryptography,Sent — likely delivered,@matthew_d_green,linkedin.com/in/matthew-green-29b45b14,,JHU — X extremely active; writes cryptography blog
Bruce Schneier,Security Technology,Sent — likely delivered,@schneierblog,linkedin.com/in/bruceschneier,,Schneier on Security — X active; email at personal domain very reliable
Laura Poitras,Documentary / Surveillance,Corrected → laura@praxisfilms.org,@LauraPoitras,linkedin.com/in/laurapoitras,,X active; Citizenfour director
Cory Doctorow,Digital Rights / Writing,Sent — likely delivered,@doctorow,linkedin.com/in/cory-doctorow,,X/Mastodon extremely active; EFF advisor — DM almost certain to land
Stephanie Russo Carroll,Indigenous Data Sovereignty,Corrected → srussocarroll@arizona.edu,,linkedin.com/in/stephanie-russo-carroll,,GIDA Chair — LinkedIn academic profile
Nanjira Sambuli,Global South Digital Rights,Sent — uncertain,@NanjiraSambuli,linkedin.com/in/nanjira-sambuli,,X very active; Carnegie Endowment fellow
Shoshana Zuboff,Surveillance Capitalism,Sent — likely delivered,@shoshanazuboff,linkedin.com/in/shoshanazuboff,,X active — Harvard Business School email reliable
Zeynep Tufekci,Technology & Society,Sent — uncertain,@zeynep,linkedin.com/in/zeynep-tufekci,,X extremely active; @zeynep is her handle — DM will land fast
Kate Crawford,AI Power / Surveillance,Corrected → kate.crawford@nyu.edu,@katecrawford,linkedin.com/in/kate-crawford,,Atlas of AI author — X active
Eben Moglen,Software Freedom Law,Sent — likely delivered,,,, SFLC — minimal social presence; email most reliable
Brewster Kahle,Digital Preservation,Corrected → brewster@archive.org,@brewster_kahle,linkedin.com/in/brewster-kahle,,Internet Archive founder — X active
Merlin Sheldrake,Mycelium Science,Sent — likely delivered,@MerlinSheldrake,linkedin.com/in/merlin-sheldrake,@merlinsheldrake,Instagram active; Entangled Life author — very accessible
Anita Gurumurthy,Feminist Tech / Global South,Sent — likely delivered,@AnitaGurumurthy,linkedin.com/in/anita-gurumurthy,,X active; IT for Change
Virginia Eubanks,Technology & Social Justice,Corrected → virginia.eubanks@albany.edu,@poptechworks,linkedin.com/in/virginia-eubanks,,X active
Geert Lovink,Internet Theory,Sent — likely delivered,@geertlovink,linkedin.com/in/geert-lovink,,xs4all.nl — old Dutch ISP email but very reliable; X active
David Toop,Sound Studies,Sent — uncertain,@DavidToopMusic,linkedin.com/in/david-toop,,X active; UAL professor
Lawrence Lessig,Internet Law,Sent — likely delivered,@lessig,linkedin.com/in/lawrence-lessig,,X very active; lessig@pobox.com known public email
Yochai Benkler,Networked Public Sphere,Sent — likely delivered,@ybenkler,linkedin.com/in/yochai-benkler,,Harvard Law — X active
Barton Gellman,Snowden / Surveillance,REPLIED ✓,@bartongellman,linkedin.com/in/barton-gellman,,CONFIRMED REPLY — Washington Post email delivered
Trevor Paglen,Surveillance Art,REPLIED ✓,@trevorpaglen,linkedin.com/in/trevor-paglen,@trevorpaglen,CONFIRMED REPLY — paglen.com email delivered
Jillian York,International Freedom of Expression,Sent — likely delivered,@jilliancyork,linkedin.com/in/jillianyork,,EFF — X very active
Alison Gillwald,Africa Digital Policy,Sent — uncertain,,linkedin.com/in/alison-gillwald,,Research ICT Africa — LinkedIn best route
Quinn Norton,Hacker Culture / Writing,Sent — likely delivered,@quinnnorton,,,Personal domain reliable; X active
Deep Listening Institute,Acoustic Meditation,Sent — general inbox,@DeepListening,,,Pauline Oliveros Foundation — general inbox likely received
Christopher Allen,Blockchain Commons,Sent — likely delivered,@ChristopherA,linkedin.com/in/christophera,,blockchaincommons.com email reliable
Yvette Alberdingk Thijm,Human Rights Evidence,Sent — uncertain,@yvetteAT,linkedin.com/in/yvette-alberdingk-thijm,,WITNESS Executive Director — X active
